"행정구역","2023년12월_거주자_총인구수","2023년12월_거주자_연령구간인구수","2023년12월_거주자_0~9세","2023년12월_거주자_10~19세","2023년12월_거주자_20~29세","2023년12월_거주자_30~39세","2023년12월_거주자_40~49세","2023년12월_거주자_50~59세","2023년12월_거주자_60~69세","2023년12월_거주자_70~79세","2023년12월_거주자_80~89세","2023년12월_거주자_90~99세","2023년12월_거주자_100세 이상"
"인천광역시 부평구 (2823700000)","491,505","491,505","28,667","39,472","62,001","71,334","72,793","86,546","76,975","34,557","16,562","2,519","79"
"인천광역시 부평구 부평1동(2823751000)","34,807","34,807","1,674","2,455","5,300","5,477","4,987","5,952","5,129","2,417","1,217","192","7"
"인천광역시 부평구 부평2동(2823752000)","14,521","14,521","682","1,042","1,863","2,063","2,054","2,526","2,371","1,315","541","64","0"
"인천광역시 부평구 부평3동(2823753000)","14,898","14,898","902","885","1,724","2,352","2,054","2,488","2,455","1,263","669","102","4"
"인천광역시 부평구 부평4동(2823754000)","34,281","34,281","1,815","2,167","4,977","5,866","5,216","5,743","4,920","2,348","1,078","149","2"
"인천광역시 부평구 부평5동(2823755000)","33,316","33,316","2,383","2,460","4,551","6,097","5,486","5,301","4,275","1,770","867","122","4"
"인천광역시 부평구 부평6동(2823756000)","14,610","14,610","877","877","1,816","2,219","2,192","2,465","2,361","1,109","622","71","1"
"인천광역시 부평구 산곡1동(2823757000)","14,708","14,708","1,199","1,077","1,568","2,862","2,237","2,211","2,099","924","456","71","4"
"인천광역시 부평구 산곡2동(2823758000)","29,527","29,527","1,943","3,454","3,482","3,203","4,930","5,254","4,384","1,910","832","133","2"
"인천광역시 부평구 산곡3동(2823758100)","20,456","20,456","826","1,710","2,355","2,112","2,566","3,719","3,892","1,938","1,127","200","11"
"인천광역시 부평구 산곡4동(2823758200)","16,573","16,573","852","1,567","2,126","1,862","2,421","3,114","2,704","1,198","623","103","3"
"인천광역시 부평구 청천1동(2823759100)","17,023","17,023","1,973","1,019","1,652","3,958","2,689","2,448","2,143","784","308","46","3"
"인천광역시 부평구 청천2동(2823759200)","33,315","33,315","2,212","2,649","4,145","4,952","4,794","5,911","5,380","2,145","959","165","3"
"인천광역시 부평구 갈산1동(2823764100)","15,319","15,319","630","1,030","2,114","2,008","2,097","3,059","2,678","1,105","520","73","5"
"인천광역시 부평구 갈산2동(2823764200)","17,529","17,529","836","1,231","1,996","2,365","2,248","3,044","3,432","1,556","688","130","3"
"인천광역시 부평구 삼산1동(2823764600)","32,521","32,521","1,844","3,106","3,985","3,872","5,036","6,201","5,049","2,100","1,116","210","2"
"인천광역시 부평구 삼산2동(2823764800)","27,596","27,596","1,682","3,744","3,538","2,534","4,765","5,663","3,476","1,416","654","117","7"
"인천광역시 부평구 부개1동(2823765000)","15,759","15,759","660","985","1,704","1,950","2,194","2,719","3,063","1,674","731","75","4"
"인천광역시 부평구 부개2동(2823766000)","19,027","19,027","1,170","1,605","2,313","2,709","2,936","3,304","2,943","1,370","601","75","1"
"인천광역시 부평구 부개3동(2823766100)","28,525","28,525","1,298","2,583","3,943","3,747","4,138","5,571","4,432","1,773","893","142","5"
"인천광역시 부평구 일신동(2823767000)","11,709","11,709","744","900","1,389","1,521","1,607","1,926","2,213","932","409","68","0"
"인천광역시 부평구 십정1동(2823768000)","24,463","24,463","1,702","1,638","3,060","5,079","3,364","3,808","3,401","1,550","755","101","5"
"인천광역시 부평구 십정2동(2823769000)","21,022","21,022","763","1,288","2,400","2,526","2,782","4,119","4,175","1,960","896","110","3"
