"행정구역","2023년01월_거주자_총인구수","2023년01월_거주자_연령구간인구수","2023년01월_거주자_0~9세","2023년01월_거주자_10~19세","2023년01월_거주자_20~29세","2023년01월_거주자_30~39세","2023년01월_거주자_40~49세","2023년01월_거주자_50~59세","2023년01월_거주자_60~69세","2023년01월_거주자_70~79세","2023년01월_거주자_80~89세","2023년01월_거주자_90~99세","2023년01월_거주자_100세 이상"
"인천광역시 남동구 (2820000000)","502,732","502,732","33,449","47,665","63,891","64,432","83,446","86,717","73,249","32,934","14,679","2,202","68"
"인천광역시 남동구 구월1동(2820051000)","30,669","30,669","2,505","3,141","3,775","4,013","5,577","4,890","4,212","1,702","720","127","7"
"인천광역시 남동구 구월2동(2820052000)","35,087","35,087","2,989","4,453","4,048","3,911","6,477","5,824","4,572","1,947","739","121","6"
"인천광역시 남동구 구월3동(2820052100)","29,833","29,833","1,373","1,705","6,378","5,769","4,674","4,431","3,325","1,461","637","78","2"
"인천광역시 남동구 구월4동(2820052200)","14,172","14,172","477","870","1,964","1,525","1,993","2,736","2,599","1,316","594","98","0"
"인천광역시 남동구 간석1동(2820053000)","17,495","17,495","794","1,214","2,326","2,484","2,570","3,003","2,767","1,511","697","128","1"
"인천광역시 남동구 간석2동(2820054000)","21,404","21,404","1,312","2,049","2,586","2,519","3,559","3,725","3,225","1,636","686","105","2"
"인천광역시 남동구 간석3동(2820055000)","26,494","26,494","1,296","1,850","3,618","3,407","3,845","4,919","4,377","2,109","954","115","4"
"인천광역시 남동구 간석4동(2820055100)","28,677","28,677","1,594","2,213","3,989","3,824","4,422","5,098","4,445","2,071","885","128","8"
"인천광역시 남동구 만수1동(2820056000)","16,522","16,522","725","938","1,983","2,063","2,181","3,068","3,050","1,533","874","106","1"
"인천광역시 남동구 만수2동(2820057000)","23,536","23,536","1,404","2,310","2,906","2,693","3,825","4,221","3,733","1,685","659","99","1"
"인천광역시 남동구 만수3동(2820058000)","17,189","17,189","1,121","1,547","2,284","2,047","2,692","2,996","2,733","1,212","479","77","1"
"인천광역시 남동구 만수4동(2820058100)","20,070","20,070","1,139","1,732","2,428","2,558","3,015","3,501","3,418","1,478","690","104","7"
"인천광역시 남동구 만수5동(2820058200)","15,105","15,105","548","889","2,031","1,740","1,884","2,816","2,918","1,561","631","86","1"
"인천광역시 남동구 만수6동(2820058300)","23,381","23,381","1,080","2,057","2,968","2,560","3,306","4,540","4,037","1,698","975","157","3"
"인천광역시 남동구 장수서창동(2820065000)","19,417","19,417","1,300","2,147","2,108","2,056","3,182","3,381","3,157","1,398","601","83","4"
"인천광역시 남동구 서창2동(2820065500)","38,874","38,874","4,850","4,336","3,280","6,082","8,186","4,966","4,579","1,871","620","98","6"
"인천광역시 남동구 남촌도림동(2820066000)","20,621","20,621","1,007","1,717","2,686","2,173","2,954","4,181","3,517","1,533","739","111","3"
"인천광역시 남동구 논현1동(2820069000)","31,279","31,279","2,436","3,422","3,724","3,976","5,555","5,589","4,017","1,679","761","116","4"
"인천광역시 남동구 논현2동(2820070000)","32,271","32,271","1,972","3,142","4,360","4,394","5,300","5,613","4,312","1,992","1,024","158","4"
"인천광역시 남동구 논현고잔동(2820071000)","40,636","40,636","3,527","5,933","4,449","4,638","8,249","7,219","4,256","1,541","714","107","3"
