"행정구역","2023년01월_거주자_총인구수","2023년01월_거주자_연령구간인구수","2023년01월_거주자_0~9세","2023년01월_거주자_10~19세","2023년01월_거주자_20~29세","2023년01월_거주자_30~39세","2023년01월_거주자_40~49세","2023년01월_거주자_50~59세","2023년01월_거주자_60~69세","2023년01월_거주자_70~79세","2023년01월_거주자_80~89세","2023년01월_거주자_90~99세","2023년01월_거주자_100세 이상"
"인천광역시 미추홀구 (2817700000)","402,637","402,637","24,441","31,461","53,886","54,485","62,435","66,037","60,449","32,052","15,249","2,082","60"
"인천광역시 미추홀구 숭의2동(2817751000)","14,420","14,420","995","928","1,786","2,045","2,175","2,317","2,210","1,228","659","74","3"
"인천광역시 미추홀구 숭의1.3동(2817752000)","15,828","15,828","1,198","1,020","2,175","2,730","2,393","2,559","2,073","1,015","580","82","3"
"인천광역시 미추홀구 숭의4동(2817753000)","15,615","15,615","906","1,227","1,930","2,031","2,323","2,533","2,471","1,409","686","96","3"
"인천광역시 미추홀구 용현1.4동(2817754000)","17,277","17,277","533","942","4,273","1,728","1,897","2,448","2,695","1,777","871","111","2"
"인천광역시 미추홀구 용현2동(2817755000)","17,417","17,417","1,221","1,267","2,309","2,683","2,555","2,641","2,483","1,515","649","92","2"
"인천광역시 미추홀구 용현3동(2817756000)","7,366","7,366","263","321","963","900","877","1,185","1,426","889","480","60","2"
"인천광역시 미추홀구 용현5동(2817757000)","46,492","46,492","3,349","4,940","6,308","5,774","8,070","7,727","5,953","2,832","1,362","177","0"
"인천광역시 미추홀구 학익1동(2817758000)","30,183","30,183","1,929","3,317","3,736","3,129","4,983","5,566","4,336","2,125","933","123","6"
"인천광역시 미추홀구 학익2동(2817759000)","18,325","18,325","877","1,628","2,244","2,039","2,687","3,240","2,962","1,669","850","124","5"
"인천광역시 미추홀구 도화1동(2817760000)","21,916","21,916","1,378","1,498","2,846","3,199","3,355","3,607","3,245","1,808","874","105","1"
"인천광역시 미추홀구 도화2.3동(2817761000)","32,185","32,185","2,885","2,630","3,570","5,185","5,585","4,657","4,498","2,112","933","125","5"
"인천광역시 미추홀구 주안1동(2817762000)","20,498","20,498","1,094","877","3,968","4,269","3,218","3,099","2,469","976","470","57","1"
"인천광역시 미추홀구 주안2동(2817763000)","16,286","16,286","774","1,091","1,975","1,999","2,274","2,690","2,866","1,709","792","115","1"
"인천광역시 미추홀구 주안3동(2817764000)","8,522","8,522","387","647","1,095","935","1,222","1,405","1,473","911","395","50","2"
"인천광역시 미추홀구 주안4동(2817765000)","17,306","17,306","1,148","1,070","1,933","2,626","2,518","2,629","2,778","1,710","775","118","1"
"인천광역시 미추홀구 주안5동(2817766000)","20,358","20,358","1,089","1,215","2,742","3,160","2,996","3,402","3,208","1,621","804","114","7"
"인천광역시 미추홀구 주안6동(2817767000)","21,501","21,501","1,618","1,835","2,541","3,149","3,677","3,218","3,070","1,547","731","112","3"
"인천광역시 미추홀구 주안7동(2817768000)","12,159","12,159","437","859","1,379","1,188","1,730","2,123","2,350","1,339","665","84","5"
"인천광역시 미추홀구 주안8동(2817769000)","20,172","20,172","957","1,708","2,557","2,236","2,930","3,753","3,414","1,684","824","104","5"
"인천광역시 미추홀구 관교동(2817770000)","14,577","14,577","731","1,297","1,737","1,611","2,178","2,477","2,607","1,298","539","99","3"
"인천광역시 미추홀구 문학동(2817771000)","14,234","14,234","672","1,144","1,819","1,869","2,792","2,761","1,862","878","377","60","0"
