"행정구역","2023년01월_거주자_총인구수","2023년01월_거주자_연령구간인구수","2023년01월_거주자_0~9세","2023년01월_거주자_10~19세","2023년01월_거주자_20~29세","2023년01월_거주자_30~39세","2023년01월_거주자_40~49세","2023년01월_거주자_50~59세","2023년01월_거주자_60~69세","2023년01월_거주자_70~79세","2023년01월_거주자_80~89세","2023년01월_거주자_90~99세","2023년01월_거주자_100세 이상","2023년01월_남_거주자_총인구수","2023년01월_남_거주자_연령구간인구수","2023년01월_남_거주자_0~9세","2023년01월_남_거주자_10~19세","2023년01월_남_거주자_20~29세","2023년01월_남_거주자_30~39세","2023년01월_남_거주자_40~49세","2023년01월_남_거주자_50~59세","2023년01월_남_거주자_60~69세","2023년01월_남_거주자_70~79세","2023년01월_남_거주자_80~89세","2023년01월_남_거주자_90~99세","2023년01월_남_거주자_100세 이상","2023년01월_여_거주자_총인구수","2023년01월_여_거주자_연령구간인구수","2023년01월_여_거주자_0~9세","2023년01월_여_거주자_10~19세","2023년01월_여_거주자_20~29세","2023년01월_여_거주자_30~39세","2023년01월_여_거주자_40~49세","2023년01월_여_거주자_50~59세","2023년01월_여_거주자_60~69세","2023년01월_여_거주자_70~79세","2023년01월_여_거주자_80~89세","2023년01월_여_거주자_90~99세","2023년01월_여_거주자_100세 이상"
"대구광역시 중구 (2711000000)","80,407","80,407","5,711","5,705","11,958","12,110","11,567","11,667","10,381","7,091","3,701","502","14","38,518","38,518","2,885","2,877","5,608","6,303","5,778","5,765","4,828","2,941","1,399","133","1","41,889","41,889","2,826","2,828","6,350","5,807","5,789","5,902","5,553","4,150","2,302","369","13"
"대구광역시 중구 동인동(2711051700)","7,804","7,804","260","434","1,276","1,159","954","1,156","1,191","834","464","73","3","3,890","3,890","123","215","616","636","527","630","587","350","184","22","0","3,914","3,914","137","219","660","523","427","526","604","484","280","51","3"
"대구광역시 중구 삼덕동(2711054500)","6,348","6,348","335","381","1,763","1,182","836","668","608","352","198","24","1","3,022","3,022","160","187","779","638","429","337","264","148","72","8","0","3,326","3,326","175","194","984","544","407","331","344","204","126","16","1"
"대구광역시 중구 성내1동(2711056500)","4,762","4,762","106","198","1,510","821","481","542","504","359","200","40","1","2,274","2,274","62","95","603","474","252","296","262","142","78","9","1","2,488","2,488","44","103","907","347","229","246","242","217","122","31","0"
"대구광역시 중구 성내2동(2711057500)","4,736","4,736","204","232","894","715","530","668","683","522","253","34","1","2,388","2,388","104","117","400","428","287","366","344","237","95","10","0","2,348","2,348","100","115","494","287","243","302","339","285","158","24","1"
"대구광역시 중구 성내3동(2711058500)","4,783","4,783","557","264","507","884","752","632","607","388","177","15","0","2,390","2,390","273","132","256","449","403","323","305","186","61","2","0","2,393","2,393","284","132","251","435","349","309","302","202","116","13","0"
"대구광역시 중구 대신동(2711059500)","7,474","7,474","730","528","712","1,067","1,198","1,140","1,093","660","305","39","2","3,624","3,624","373","285","366","525","619","545","502","280","116","13","0","3,850","3,850","357","243","346","542","579","595","591","380","189","26","2"
"대구광역시 중구 남산1동(2711064000)","4,412","4,412","198","276","832","576","568","662","620","426","229","25","0","2,094","2,094","101","135","369","312","279","332","303","174","85","4","0","2,318","2,318","97","141","463","264","289","330","317","252","144","21","0"
"대구광역시 중구 남산2동(2711065000)","7,064","7,064","752","537","839","1,258","1,130","987","745","526","246","42","2","3,360","3,360","366","245","394","610","569","491","353","227","99","6","0","3,704","3,704","386","292","445","648","561","496","392","299","147","36","2"
"대구광역시 중구 남산3동(2711066000)","6,406","6,406","441","547","610","771","1,048","1,007","929","659","347","47","0","2,954","2,954","236","284","318","388","488","480","388","251","111","10","0","3,452","3,452","205","263","292","383","560","527","541","408","236","37","0"
"대구광역시 중구 남산4동(2711067000)","14,224","14,224","1,197","1,245","1,460","1,942","2,201","2,176","1,917","1,325","683","75","3","6,671","6,671","611","663","739","970","1,049","1,014","817","539","247","22","0","7,553","7,553","586","582","721","972","1,152","1,162","1,100","786","436","53","3"
"대구광역시 중구 대봉1동(2711068000)","7,726","7,726","536","691","1,046","981","1,126","1,269","910","657","446","64","0","3,610","3,610","279","336","493","484","530","591","442","243","191","21","0","4,116","4,116","257","355","553","497","596","678","468","414","255","43","0"
"대구광역시 중구 대봉2동(2711069000)","4,668","4,668","395","372","509","754","743","760","574","383","153","24","1","2,241","2,241","197","183","275","389","346","360","261","164","60","6","0","2,427","2,427","198","189","234","365","397","400","313","219","93","18","1"
