"행정구역","2023년12월_거주자_총인구수","2023년12월_거주자_연령구간인구수","2023년12월_거주자_0~9세","2023년12월_거주자_10~19세","2023년12월_거주자_20~29세","2023년12월_거주자_30~39세","2023년12월_거주자_40~49세","2023년12월_거주자_50~59세","2023년12월_거주자_60~69세","2023년12월_거주자_70~79세","2023년12월_거주자_80~89세","2023년12월_거주자_90~99세","2023년12월_거주자_100세 이상","2023년12월_남_거주자_총인구수","2023년12월_남_거주자_연령구간인구수","2023년12월_남_거주자_0~9세","2023년12월_남_거주자_10~19세","2023년12월_남_거주자_20~29세","2023년12월_남_거주자_30~39세","2023년12월_남_거주자_40~49세","2023년12월_남_거주자_50~59세","2023년12월_남_거주자_60~69세","2023년12월_남_거주자_70~79세","2023년12월_남_거주자_80~89세","2023년12월_남_거주자_90~99세","2023년12월_남_거주자_100세 이상","2023년12월_여_거주자_총인구수","2023년12월_여_거주자_연령구간인구수","2023년12월_여_거주자_0~9세","2023년12월_여_거주자_10~19세","2023년12월_여_거주자_20~29세","2023년12월_여_거주자_30~39세","2023년12월_여_거주자_40~49세","2023년12월_여_거주자_50~59세","2023년12월_여_거주자_60~69세","2023년12월_여_거주자_70~79세","2023년12월_여_거주자_80~89세","2023년12월_여_거주자_90~99세","2023년12월_여_거주자_100세 이상"
"대구광역시 북구 (2723000000)","418,407","418,407","26,075","39,062","56,260","48,225","62,986","77,130","61,027","30,685","15,074","1,840","43","207,401","207,401","13,335","20,096","30,202","26,044","30,990","37,921","29,621","13,378","5,406","403","5","211,006","211,006","12,740","18,966","26,058","22,181","31,996","39,209","31,406","17,307","9,668","1,437","38"
"대구광역시 북구 고성동(2723051000)","7,770","7,770","887","562","697","1,757","1,245","966","833","533","254","35","1","3,810","3,810","439","271","347","925","645","493","372","225","83","10","0","3,960","3,960","448","291","350","832","600","473","461","308","171","25","1"
"대구광역시 북구 칠성동(2723052600)","22,123","22,123","1,733","2,092","2,539","3,156","3,828","3,276","2,807","1,642","915","130","5","10,556","10,556","873","1,022","1,226","1,591","1,863","1,582","1,323","700","347","29","0","11,567","11,567","860","1,070","1,313","1,565","1,965","1,694","1,484","942","568","101","5"
"대구광역시 북구 침산1동(2723055000)","3,736","3,736","122","161","352","377","381","728","914","463","208","28","2","1,970","1,970","64","90","203","226","221","396","473","228","63","6","0","1,766","1,766","58","71","149","151","160","332","441","235","145","22","2"
"대구광역시 북구 침산2동(2723056000)","17,817","17,817","1,622","2,276","1,847","2,149","3,365","2,878","1,989","1,088","537","63","3","8,580","8,580","818","1,160","942","1,065","1,577","1,416","914","454","217","15","2","9,237","9,237","804","1,116","905","1,084","1,788","1,462","1,075","634","320","48","1"
"대구광역시 북구 침산3동(2723057000)","18,673","18,673","1,318","2,022","2,001","1,854","2,983","3,436","2,647","1,542","789","79","2","8,941","8,941","690","1,017","1,068","905","1,395","1,648","1,262","632","307","16","1","9,732","9,732","628","1,005","933","949","1,588","1,788","1,385","910","482","63","1"
"대구광역시 북구 산격1동(2723061000)","8,274","8,274","161","355","679","634","819","1,574","1,953","1,344","683","71","1","4,094","4,094","77","182","395","393","476","816","974","523","241","17","0","4,180","4,180","84","173","284","241","343","758","979","821","442","54","1"
"대구광역시 북구 산격2동(2723062000)","10,048","10,048","422","744","1,271","1,058","1,195","1,967","1,890","968","479","52","2","4,910","4,910","205","383","711","600","590","913","905","417","173","13","0","5,138","5,138","217","361","560","458","605","1,054","985","551","306","39","2"
"대구광역시 북구 산격3동(2723063000)","8,680","8,680","172","380","2,652","1,047","872","1,064","1,254","796","393","50","0","4,579","4,579","95","183","1,468","671","529","565","586","333","135","14","0","4,101","4,101","77","197","1,184","376","343","499","668","463","258","36","0"
"대구광역시 북구 산격4동(2723063100)","7,749","7,749","218","406","1,007","905","892","1,303","1,564","943","459","51","1","4,056","4,056","112","240","576","581","520","677","724","419","198","9","0","3,693","3,693","106","166","431","324","372","626","840","524","261","42","1"
"대구광역시 북구 대현동(2723064500)","16,297","16,297","715","1,074","2,769","1,628","2,198","2,547","2,573","1,710","963","119","1","8,175","8,175","340","538","1,694","922","1,131","1,299","1,173","704","342","31","1","8,122","8,122","375","536","1,075","706","1,067","1,248","1,400","1,006","621","88","0"
"대구광역시 북구 복현1동(2723067100)","7,021","7,021","115","249","2,432","954","682","977","952","442","192","26","0","3,926","3,926","66","126","1,425","630","412","524","453","209","71","10","0","3,095","3,095","49","123","1,007","324","270","453","499","233","121","16","0"
"대구광역시 북구 복현2동(2723067200)","29,694","29,694","2,018","2,991","4,067","3,838","4,527","5,175","4,272","1,878","803","123","2","14,664","14,664","1,016","1,551","2,222","2,073","2,176","2,410","2,047","849","301","19","0","15,030","15,030","1,002","1,440","1,845","1,765","2,351","2,765","2,225","1,029","502","104","2"
"대구광역시 북구 검단동(2723068000)","5,911","5,911","179","306","564","600","724","1,004","1,317","789","386","42","0","2,917","2,917","91","160","298","360","398","540","574","344","141","11","0","2,994","2,994","88","146","266","240","326","464","743","445","245","31","0"
"대구광역시 북구 무태조야동(2723069500)","34,463","34,463","2,740","3,506","3,764","3,727","6,101","6,763","4,450","2,383","931","97","1","17,584","17,584","1,426","1,786","2,035","2,008","3,043","3,591","2,214","1,106","357","18","0","16,879","16,879","1,314","1,720","1,729","1,719","3,058","3,172","2,236","1,277","574","79","1"
"대구광역시 북구 관문동(2723071500)","34,216","34,216","3,447","3,282","3,098","4,617","6,210","5,680","4,792","2,127","840","121","2","16,947","16,947","1,756","1,675","1,681","2,312","3,193","2,748","2,311","959","291","21","0","17,269","17,269","1,691","1,607","1,417","2,305","3,017","2,932","2,481","1,168","549","100","2"
"대구광역시 북구 태전1동(2723072500)","21,995","21,995","979","1,584","4,011","2,450","2,723","4,071","3,565","1,652","836","120","4","10,953","10,953","539","832","1,989","1,399","1,387","1,981","1,742","756","304","23","1","11,042","11,042","440","752","2,022","1,051","1,336","2,090","1,823","896","532","97","3"
"대구광역시 북구 태전2동(2723073500)","23,153","23,153","1,192","2,098","3,282","2,444","3,142","4,508","3,735","1,844","819","85","4","11,251","11,251","598","1,111","1,703","1,333","1,531","2,111","1,761","775","307","21","0","11,902","11,902","594","987","1,579","1,111","1,611","2,397","1,974","1,069","512","64","4"
"대구광역시 북구 구암동(2723074500)","32,804","32,804","1,768","4,079","4,588","2,946","5,245","7,230","4,215","1,655","957","117","4","15,988","15,988","872","2,119","2,427","1,550","2,364","3,466","2,152","699","311","28","0","16,816","16,816","896","1,960","2,161","1,396","2,881","3,764","2,063","956","646","89","4"
"대구광역시 북구 관음동(2723075000)","15,148","15,148","568","1,208","1,937","1,443","1,792","3,235","2,943","1,258","693","68","3","7,642","7,642","310","619","1,089","828","922","1,592","1,455","595","218","14","0","7,506","7,506","258","589","848","615","870","1,643","1,488","663","475","54","3"
"대구광역시 북구 읍내동(2723077000)","25,133","25,133","1,299","2,034","3,574","2,925","3,076","5,064","4,269","1,770","996","122","4","12,435","12,435","673","1,088","1,944","1,594","1,478","2,375","2,103","811","344","25","0","12,698","12,698","626","946","1,630","1,331","1,598","2,689","2,166","959","652","97","4"
"대구광역시 북구 동천동(2723078000)","26,379","26,379","1,543","3,564","3,781","2,478","4,410","5,937","2,694","1,180","717","75","0","12,780","12,780","825","1,845","2,019","1,237","1,910","2,877","1,374","443","236","14","0","13,599","13,599","718","1,719","1,762","1,241","2,500","3,060","1,320","737","481","61","0"
"대구광역시 북구 노원동(2723079000)","10,487","10,487","424","511","965","1,255","1,266","1,878","2,324","1,332","473","59","0","5,441","5,441","225","253","502","757","729","976","1,165","617","202","15","0","5,046","5,046","199","258","463","498","537","902","1,159","715","271","44","0"
"대구광역시 북구 국우동(2723080000)","30,836","30,836","2,433","3,578","4,383","3,983","5,310","5,869","3,075","1,346","751","107","1","15,202","15,202","1,225","1,845","2,238","2,084","2,500","2,925","1,564","580","217","24","0","15,634","15,634","1,208","1,733","2,145","1,899","2,810","2,944","1,511","766","534","83","1"
