year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,경기도,강원특별자치도,충청북도,충청남도(세종),전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2015,28.6,29.8,28.1,29.35,26.2,31.5,29.75,24,28.85,31.15,26.25,26.475,27.75,31.7,27.25,26.65,25.55
2016,27,31.9,27.35,28.55,32.2,24.95,31.4,24.1,27.5,21.75,26.1,24.9,17.5,20.9,21.05,21.05,18.95
2017,28,32.45,28.75,29.45,30.35,28,34.05,25.9,27.2,23,26.6,26.2,25.3,23.75,21.45,23.8,25.3
2018,40,44.4,40.2,37.7,41.6,36.5,40.6,41.6,40.4,34.7,48.7,36.2,36.7,45,28.7,33.2,49.2
2019,42.1,45.5,42.5,42.4,41.9,43.3,36.3,44.6,40.3,39.3,39.1,36.2,46.7,49.7,40.3,40.8,47.9
2020,41.6,41.7,36.8,34.4,40.6,46.6,44.3,40.3,43.5,36.3,45.1,41.3,38.8,39.3,45.8,42.5,41.6
2021,41,44.3,41.5,41.2,48.4,37.6,47.1,46,36.2,27.8,48.6,46,38.3,37.6,39.2,48.3,23.6
2022,40.3,47.1,45.5,44,40.7,42.9,40.8,39.6,40,33.6,40.2,37.1,39.7,37.8,34.5,38.6,30.3
2023,38.4,43.8,39.2,38.6,39.2,40.1,42.7,39.2,37.2,31.7,36.1,36.1,34.8,35.5,30.7,39.6,36.7
