year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,경기도,강원특별자치도,충청북도,충청남도(세종),전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2015,64,66.7,63.9,57.2,65.2,58.8,59.5,62.2,64.3,63.2,73.3,65.9,62,67.9,65.2,58.8,53.3
2016,60.2,70.6,60.4,66.1,56.8,52.8,58.5,53.9,67.4,47.5,48.3,52.4,45.9,45.7,41.2,54.7,41.1
2017,59.8,69.3,63.8,58.3,61.8,53.5,59.3,62.2,56.8,57.6,51.8,57.5,52.1,51.6,52,58.4,58.3
2018,59.3,63.6,58.3,54.6,58.8,65,71.1,57.1,56.7,66.1,52.7,54.5,67.5,67.2,51.8,53.2,74.9
2019,59,62.5,58.1,48.8,54.8,60.8,60.3,73.3,53.7,70.9,62.6,62.8,64.3,72.3,56.2,57,72.8
2020,64.2,60.2,60.8,55.3,57,68.1,62.6,64.7,71,61.6,66.1,65.3,67.9,66,55.4,64.7,74.3
2021,64.8,64.9,64.3,70.1,68.8,64.6,59.7,68.3,62.1,47.9,71.7,65.9,66.6,61.1,65.8,76,53.5
2022,62.6,67.4,65.8,61,68.1,62.2,66.5,55.8,66,62.2,58.9,58.45,56.5,60.4,58.2,61.5,56.2
2023,53.2,58.4,55.6,49.4,58,54,48.6,51.7,51.6,43.4,47.2,47.95,54.3,50.9,50.6,57.8,50.4
